descricao,qtd_duplicatas,codigos_todos,codigo_manter,codigos_eliminar,categoria,valor_total_estoque,preco_medio,estoque_total
filtro Cobre,9,"MAT-00154, MAT-00442, MAT-00480, MAT-00481, MAT-00548, MAT-01649, MAT-02739, MAT-02806, MAT-02874",MAT-02739,"MAT-00154, MAT-00442, MAT-00480, MAT-00481, MAT-00548, MAT-01649, MAT-02806, MAT-02874",Pneumático,3178447.88,153.04444444444442,22371
Fita Inox,8,"MAT-00139, MAT-01516, MAT-01858, MAT-01914, MAT-02655, MAT-02734, MAT-02755, MAT-06001",MAT-02755,"MAT-00139, MAT-01516, MAT-01858, MAT-01914, MAT-02655, MAT-02734, MAT-06001",Embalagem,3134749.2478113077,239.0559363198106,17990
Capacete PVC,8,"MAT-00102, MAT-00857, MAT-01846, MAT-02453, MAT-02733, MAT-02858, MAT-02879, MAT-02997",MAT-00857,"MAT-00102, MAT-01846, MAT-02453, MAT-02733, MAT-02858, MAT-02879, MAT-02997",EPI,3107502.5500000003,173.28875000000002,19502
Pasta Alumínio,13,"MAT-00072, MAT-00652, MAT-00856, MAT-00873, MAT-00890, MAT-00995, MAT-01134, MAT-01188, MAT-01243, MAT-02044, MAT-06001, MAT-06001, MAT-06001",MAT-00856,"MAT-00072, MAT-00652, MAT-00873, MAT-00890, MAT-00995, MAT-01134, MAT-01188, MAT-01243, MAT-02044, MAT-06001, MAT-06001, MAT-06001",MÚLTIPLAS,3099355.3754965556,81.70310900964068,30572
Máscara Cobre,9,"MAT-00515, MAT-00560, MAT-00883, MAT-01397, MAT-01946, MAT-02085, MAT-02827, MAT-06001, MAT-06001",MAT-01946,"MAT-00515, MAT-00560, MAT-00883, MAT-01397, MAT-02085, MAT-02827, MAT-06001, MAT-06001",EPI,3086048.6067686267,159.05927457680718,22296
Clipe Alumínio,3,"MAT-00919, MAT-01184, MAT-02233",MAT-00919,"MAT-01184, MAT-02233",Acessórios,3075304.53,476.6566666666667,9489
Papel Plástico,6,"MAT-00111, MAT-01301, MAT-01435, MAT-01886, MAT-02247, MAT-06001",MAT-01301,"MAT-00111, MAT-01435, MAT-01886, MAT-02247, MAT-06001",Escritório,3063494.5767152696,186.61164089847728,9053
Sensor PVC,5,"MAT-00612, MAT-00741, MAT-01884, MAT-02545, MAT-02769",MAT-02769,"MAT-00612, MAT-00741, MAT-01884, MAT-02545",Eletrônico,3055292.8000000003,217.77399999999997,11955
Graxa Cobre,4,"MAT-00444, MAT-01266, MAT-01727, MAT-02914",MAT-01727,"MAT-00444, MAT-01266, MAT-02914",Lubrificante,3052887.67,232.66,6876
Solvente PVC,5,"MAT-00189, MAT-00729, MAT-01445, MAT-01933, MAT-02594",MAT-01933,"MAT-00189, MAT-00729, MAT-01445, MAT-02594",Químico,3046020.0199999996,293.962,10495
Módulo Aço,6,"MAT-00958, MAT-01251, MAT-01285, MAT-02398, MAT-02618, MAT-02902",MAT-01285,"MAT-00958, MAT-01251, MAT-02398, MAT-02618, MAT-02902",Eletrônico,3034923.9200000004,142.39333333333335,15445
Tomada Latão,9,"MAT-00076, MAT-00289, MAT-00382, MAT-01000, MAT-01165, MAT-01331, MAT-02457, MAT-02788, MAT-06001",MAT-01000,"MAT-00076, MAT-00289, MAT-00382, MAT-01165, MAT-01331, MAT-02457, MAT-02788, MAT-06001",Elétrico,2971202.9745276626,182.30478372105574,17920
Pasta Latão,10,"MAT-00041, MAT-00655, MAT-00659, MAT-00708, MAT-01069, MAT-01200, MAT-02214, MAT-02789, MAT-06001, MAT-06001",MAT-00659,"MAT-00041, MAT-00655, MAT-00708, MAT-01069, MAT-01200, MAT-02214, MAT-02789, MAT-06001, MAT-06001",MÚLTIPLAS,2956188.7677019085,223.88307673288188,23224
Resistor Plástico,4,"MAT-00135, MAT-00697, MAT-00922, MAT-02005",MAT-00922,"MAT-00135, MAT-00697, MAT-02005",Eletrônico,2953974.8800000004,171.2825,10499
Plástico Plástico,7,"MAT-01466, MAT-01555, MAT-01909, MAT-02798, MAT-02820, MAT-02871, MAT-02911",MAT-02820,"MAT-01466, MAT-01555, MAT-01909, MAT-02798, MAT-02871, MAT-02911",Embalagem,2925266.06,97.99,18757
Spray Latão,8,"MAT-00180, MAT-00367, MAT-00576, MAT-00642, MAT-00841, MAT-00970, MAT-02294, MAT-06001",MAT-00576,"MAT-00180, MAT-00367, MAT-00642, MAT-00841, MAT-00970, MAT-02294, MAT-06001",Lubrificante,2843331.9333803873,214.83085168185792,19574
Alicate Cobre,6,"MAT-00104, MAT-00314, MAT-00477, MAT-00913, MAT-01344, MAT-02031",MAT-00913,"MAT-00104, MAT-00314, MAT-00477, MAT-01344, MAT-02031",Ferramentas,2825002.86,331.32666666666665,17454
Grampeador Plástico,8,"MAT-00078, MAT-00352, MAT-00525, MAT-01387, MAT-01688, MAT-01724, MAT-01964, MAT-02071",MAT-01724,"MAT-00078, MAT-00352, MAT-00525, MAT-01387, MAT-01688, MAT-01964, MAT-02071",Escritório,2821784.55,135.66500000000002,16878
Conexão Cobre,15,"MAT-00321, MAT-00380, MAT-00619, MAT-00797, MAT-01207, MAT-01212, MAT-01437, MAT-01973, MAT-02091, MAT-02541, MAT-02725, MAT-02815, MAT-02862, MAT-02994, MAT-06001",MAT-01437,"MAT-00321, MAT-00380, MAT-00619, MAT-00797, MAT-01207, MAT-01212, MAT-01973, MAT-02091, MAT-02541, MAT-02725, MAT-02815, MAT-02862, MAT-02994, MAT-06001",MÚLTIPLAS,2794329.0119011295,158.19368708472018,39272
Catalisador Plástico,9,"MAT-00100, MAT-00277, MAT-00482, MAT-01444, MAT-02099, MAT-02536, MAT-02681, MAT-02848, MAT-06001",MAT-02848,"MAT-00100, MAT-00277, MAT-00482, MAT-01444, MAT-02099, MAT-02536, MAT-02681, MAT-06001",Químico,2784225.3400000003,262.3911111111112,26768
Papel Aço,5,"MAT-01726, MAT-01899, MAT-01903, MAT-02558, MAT-06001",MAT-01726,"MAT-01899, MAT-01903, MAT-02558, MAT-06001",Escritório,2781644.8853261946,314.49160732208486,7797
Engrenagem Cobre,3,"MAT-01332, MAT-01451, MAT-01866",MAT-01332,"MAT-01451, MAT-01866",Mecânico,2776627.42,323.7366666666667,11744
Plástico Inox,9,"MAT-00004, MAT-00236, MAT-00544, MAT-02023, MAT-02565, MAT-02631, MAT-02898, MAT-06001, MAT-06001",MAT-02631,"MAT-00004, MAT-00236, MAT-00544, MAT-02023, MAT-02565, MAT-02898, MAT-06001, MAT-06001",Embalagem,2729990.946785637,178.74587787736502,27154
serra Plástico,8,"MAT-00323, MAT-00948, MAT-01047, MAT-01545, MAT-01792, MAT-02140, MAT-02336, MAT-06001",MAT-02140,"MAT-00323, MAT-00948, MAT-01047, MAT-01545, MAT-01792, MAT-02336, MAT-06001",Ferramentas,2689952.0807848168,288.98738331711183,16233
Serra em Latão,2,"MAT-00459, MAT-02947",MAT-00459,MAT-02947,Ferramentas,2669086.2199999997,849.8449999999999,5041
Martelo Inox,7,"MAT-00090, MAT-00682, MAT-00761, MAT-00814, MAT-01476, MAT-01989, MAT-02135",MAT-01989,"MAT-00090, MAT-00682, MAT-00761, MAT-00814, MAT-01476, MAT-02135",Ferramentas,2569561.05,213.41285714285715,17324
Máscara Plástico,6,"MAT-00478, MAT-00549, MAT-01768, MAT-01992, MAT-02711, MAT-02727",MAT-02711,"MAT-00478, MAT-00549, MAT-01768, MAT-01992, MAT-02727",EPI,2559781.9,293.48999999999995,12963
Máscara Latão,8,"MAT-00007, MAT-00272, MAT-00538, MAT-01762, MAT-02522, MAT-02654, MAT-02917, MAT-02955",MAT-02654,"MAT-00007, MAT-00272, MAT-00538, MAT-01762, MAT-02522, MAT-02917, MAT-02955",EPI,2554307.8800000004,79.29000000000002,27197
Vedação Aço,5,"MAT-00339, MAT-00432, MAT-01789, MAT-01961, MAT-02840",MAT-01961,"MAT-00339, MAT-00432, MAT-01789, MAT-02840",Peças,2547126.15,202.342,19337
Capacitor Cobre,10,"MAT-00254, MAT-00329, MAT-00897, MAT-01176, MAT-01426, MAT-01687, MAT-01872, MAT-02335, MAT-02865, MAT-06001",MAT-00254,"MAT-00329, MAT-00897, MAT-01176, MAT-01426, MAT-01687, MAT-01872, MAT-02335, MAT-02865, MAT-06001",Eletrônico,2545330.5080066444,58.9173720453921,15567
Capacete Inox,8,"MAT-00208, MAT-01995, MAT-02434, MAT-02439, MAT-02484, MAT-02626, MAT-02826, MAT-06001",MAT-02439,"MAT-00208, MAT-01995, MAT-02434, MAT-02484, MAT-02626, MAT-02826, MAT-06001",EPI,2536629.34,179.2025,24248
Conexão Inox,8,"MAT-00011, MAT-00270, MAT-00490, MAT-00605, MAT-00820, MAT-01223, MAT-01281, MAT-01381",MAT-01223,"MAT-00011, MAT-00270, MAT-00490, MAT-00605, MAT-00820, MAT-01281, MAT-01381",MÚLTIPLAS,2524891.62,83.0425,25067
Gancho Aço,4,"MAT-00017, MAT-01695, MAT-02256, MAT-02595",MAT-01695,"MAT-00017, MAT-02256, MAT-02595",Acessórios,2517704.5100000002,239.25250000000005,8384
Grampeador em Plástico,2,"MAT-00670, MAT-01209",MAT-00670,MAT-01209,Escritório,2498631.63,875.28,1837
Bota Cobre,6,"MAT-00219, MAT-00404, MAT-02236, MAT-02469, MAT-02981, MAT-06001",MAT-00219,"MAT-00404, MAT-02236, MAT-02469, MAT-02981, MAT-06001",EPI,2410183.7441255,215.96150264507233,17731
Vassoura PVC,4,"MAT-00649, MAT-01580, MAT-01760, MAT-02659",MAT-01580,"MAT-00649, MAT-01760, MAT-02659",Limpeza,2351638.21,166.44,11422
Retentor Plástico,9,"MAT-00296, MAT-00325, MAT-00875, MAT-00884, MAT-01308, MAT-01772, MAT-02413, MAT-02520, MAT-06001",MAT-02413,"MAT-00296, MAT-00325, MAT-00875, MAT-00884, MAT-01308, MAT-01772, MAT-02520, MAT-06001",Peças,2333569.180705238,189.80359148716687,21426
Chave PVC,10,"MAT-00504, MAT-00762, MAT-00898, MAT-01116, MAT-01291, MAT-01576, MAT-02060, MAT-02136, MAT-02901, MAT-06001",MAT-00898,"MAT-00504, MAT-00762, MAT-01116, MAT-01291, MAT-01576, MAT-02060, MAT-02136, MAT-02901, MAT-06001",Ferramentas,2295955.339437674,242.8490486665499,22480
Sensor Latão,7,"MAT-00112, MAT-00691, MAT-01238, MAT-01670, MAT-01821, MAT-01928, MAT-02354",MAT-01821,"MAT-00112, MAT-00691, MAT-01238, MAT-01670, MAT-01928, MAT-02354",Eletrônico,2184069.74,163.60285714285715,17140
Caixa Cobre,6,"MAT-00755, MAT-00768, MAT-01439, MAT-02322, MAT-02361, MAT-02455",MAT-02322,"MAT-00755, MAT-00768, MAT-01439, MAT-02361, MAT-02455",Embalagem,2163608.6399999997,203.02666666666664,13813
Anel Plástico,9,"MAT-00276, MAT-00519, MAT-00532, MAT-00645, MAT-00731, MAT-00881, MAT-01723, MAT-02367, MAT-06001",MAT-00519,"MAT-00276, MAT-00532, MAT-00645, MAT-00731, MAT-00881, MAT-01723, MAT-02367, MAT-06001",Peças,2059905.933381407,241.5945415792227,22524
Catalisador Aço,5,"MAT-00003, MAT-00320, MAT-00977, MAT-01394, MAT-02830",MAT-02830,"MAT-00003, MAT-00320, MAT-00977, MAT-01394",Químico,2032465.13,137.91199999999998,13379
Presilha Aço,6,"MAT-00010, MAT-00231, MAT-00759, MAT-02264, MAT-02382, MAT-02960",MAT-02960,"MAT-00010, MAT-00231, MAT-00759, MAT-02264, MAT-02382",Acessórios,2026401.17,113.90166666666669,20533
Clips Aço,5,"MAT-00050, MAT-00742, MAT-00772, MAT-02571, MAT-06001",MAT-00742,"MAT-00050, MAT-00772, MAT-02571, MAT-06001",Escritório,2001812.425419118,212.49103049019612,8262
Papel Cobre,7,"MAT-00001, MAT-00461, MAT-00462, MAT-01351, MAT-02223, MAT-02640, MAT-06001",MAT-00462,"MAT-00001, MAT-00461, MAT-01351, MAT-02223, MAT-02640, MAT-06001",Escritório,1961775.7847565059,267.73267179392894,16416
Capacitor Inox,6,"MAT-01263, MAT-01520, MAT-02087, MAT-02339, MAT-02559, MAT-02864",MAT-02339,"MAT-01263, MAT-01520, MAT-02087, MAT-02559, MAT-02864",Eletrônico,1935140.7700000003,388.93666666666667,12421
Vedação Cobre,5,"MAT-00860, MAT-01036, MAT-01098, MAT-02075, MAT-02483",MAT-02483,"MAT-00860, MAT-01036, MAT-01098, MAT-02075",Peças,1916654.2000000002,178.56,12209
Vedação Inox,9,"MAT-01053, MAT-01104, MAT-01297, MAT-01606, MAT-01844, MAT-02272, MAT-02282, MAT-02797, MAT-06001",MAT-02282,"MAT-01053, MAT-01104, MAT-01297, MAT-01606, MAT-01844, MAT-02272, MAT-02797, MAT-06001",Peças,1912873.3071173886,164.98549215741002,20163
Válvula Plástico,10,"MAT-00386, MAT-00723, MAT-00916, MAT-01403, MAT-01738, MAT-01740, MAT-01814, MAT-02355, MAT-02471, MAT-02979",MAT-02355,"MAT-00386, MAT-00723, MAT-00916, MAT-01403, MAT-01738, MAT-01740, MAT-01814, MAT-02471, MAT-02979",MÚLTIPLAS,1896502.9900000002,52.910000000000004,36869
Parafuso M12 PVC,4,"MAT-00103, MAT-01218, MAT-01977, MAT-02495",MAT-01218,"MAT-00103, MAT-01977, MAT-02495",Fixação,1881230.7,424.9875,9088
Cabo 6mm² Aço,2,"MAT-01271, MAT-02576",MAT-02576,MAT-01271,Elétrico,1805624.4599999997,259.07,6088
"Tubo 1.1/4"" PVC",3,"MAT-00527, MAT-01538, MAT-02042",MAT-02042,"MAT-00527, MAT-01538",Hidráulico,1787023.3,300.4666666666667,6303
Lâmpada Aço,8,"MAT-00194, MAT-00218, MAT-00224, MAT-00253, MAT-02317, MAT-02397, MAT-06001, MAT-06001",MAT-00253,"MAT-00194, MAT-00218, MAT-00224, MAT-02317, MAT-02397, MAT-06001, MAT-06001",Elétrico,1779999.5773951607,108.9243470126691,19560
Caneta PVC,9,"MAT-00512, MAT-00513, MAT-01420, MAT-01513, MAT-01714, MAT-02288, MAT-02900, MAT-06001, MAT-06001",MAT-01714,"MAT-00512, MAT-00513, MAT-01420, MAT-01513, MAT-02288, MAT-02900, MAT-06001, MAT-06001",Escritório,1759324.5927079143,246.5565472014664,17349
Disjuntor Latão,3,"MAT-00077, MAT-00142, MAT-01796",MAT-00142,"MAT-00077, MAT-01796",Elétrico,1737887.0,276.07,9426
Cilindro Alumínio,6,"MAT-00654, MAT-01523, MAT-01918, MAT-01968, MAT-02008, MAT-06001",MAT-02008,"MAT-00654, MAT-01523, MAT-01918, MAT-01968, MAT-06001",Pneumático,1711603.442889223,221.20954013955603,9783
Pasta Cobre,13,"MAT-00230, MAT-00454, MAT-00968, MAT-01133, MAT-01280, MAT-01391, MAT-01609, MAT-02179, MAT-02588, MAT-02756, MAT-02951, MAT-02970, MAT-06001",MAT-02588,"MAT-00230, MAT-00454, MAT-00968, MAT-01133, MAT-01280, MAT-01391, MAT-01609, MAT-02179, MAT-02756, MAT-02951, MAT-02970, MAT-06001",MÚLTIPLAS,1677081.176484648,61.43903897868766,34536
Lâmpada Cobre,6,"MAT-00223, MAT-00610, MAT-00888, MAT-01590, MAT-01626, MAT-02870",MAT-00610,"MAT-00223, MAT-00888, MAT-01590, MAT-01626, MAT-02870",Elétrico,1656842.77,107.36166666666666,11039
Mangueira Alumínio,11,"MAT-00744, MAT-01132, MAT-01642, MAT-01742, MAT-02105, MAT-02364, MAT-02437, MAT-02463, MAT-02633, MAT-02853, MAT-06001",MAT-01742,"MAT-00744, MAT-01132, MAT-01642, MAT-02105, MAT-02364, MAT-02437, MAT-02463, MAT-02633, MAT-02853, MAT-06001",MÚLTIPLAS,1637976.283386441,47.733532551215966,22733
Serra Alumínio,8,"MAT-00399, MAT-00586, MAT-01163, MAT-01337, MAT-01885, MAT-01953, MAT-06001, MAT-06001",MAT-01337,"MAT-00399, MAT-00586, MAT-01163, MAT-01885, MAT-01953, MAT-06001, MAT-06001",Ferramentas,1631750.5732301062,115.16738122704986,21358
led Alumínio,13,"MAT-00023, MAT-00145, MAT-00629, MAT-00781, MAT-01244, MAT-01409, MAT-01463, MAT-01635, MAT-02417, MAT-02613, MAT-02928, MAT-06001, MAT-06001",MAT-00023,"MAT-00145, MAT-00629, MAT-00781, MAT-01244, MAT-01409, MAT-01463, MAT-01635, MAT-02417, MAT-02613, MAT-02928, MAT-06001, MAT-06001",Eletrônico,1618672.2077213791,58.77442933545188,18123
Mangueira Cobre,12,"MAT-00280, MAT-00306, MAT-00423, MAT-00910, MAT-01057, MAT-02130, MAT-02190, MAT-02352, MAT-02359, MAT-02629, MAT-06001, MAT-06001",MAT-00423,"MAT-00280, MAT-00306, MAT-00910, MAT-01057, MAT-02130, MAT-02190, MAT-02352, MAT-02359, MAT-02629, MAT-06001, MAT-06001",MÚLTIPLAS,1600204.7858534823,113.5425780729675,29773
Capacete Alumínio,7,"MAT-00447, MAT-00711, MAT-00730, MAT-00753, MAT-01512, MAT-02762, MAT-06001",MAT-02762,"MAT-00447, MAT-00711, MAT-00730, MAT-00753, MAT-01512, MAT-06001",EPI,1593299.4971988327,66.95276793753877,18951
Filtro Alumínio,9,"MAT-00431, MAT-00636, MAT-00887, MAT-01182, MAT-01377, MAT-01612, MAT-01707, MAT-02178, MAT-06001",MAT-00636,"MAT-00431, MAT-00887, MAT-01182, MAT-01377, MAT-01612, MAT-01707, MAT-02178, MAT-06001",Pneumático,1559563.8077451712,108.29473389567136,24057
Retentor PVC,6,"MAT-00413, MAT-01171, MAT-01248, MAT-01467, MAT-02687, MAT-02822",MAT-01467,"MAT-00413, MAT-01171, MAT-01248, MAT-02687, MAT-02822",Peças,1542858.73,144.16666666666669,19379
Grampeador PVC,7,"MAT-00108, MAT-01237, MAT-01988, MAT-02011, MAT-02077, MAT-02843, MAT-06001",MAT-01988,"MAT-00108, MAT-01237, MAT-02011, MAT-02077, MAT-02843, MAT-06001",Escritório,1538219.4375198092,244.31020255468505,16423
Interruptor PVC,4,"MAT-00517, MAT-00624, MAT-01389, MAT-02551",MAT-01389,"MAT-00517, MAT-00624, MAT-02551",Elétrico,1469862.1,652.4200000000001,6789
Pano Aço,4,"MAT-00318, MAT-00792, MAT-01890, MAT-02358",MAT-00792,"MAT-00318, MAT-01890, MAT-02358",Limpeza,1469087.2200000002,289.8325,7309
Reagente Aço,8,"MAT-00417, MAT-00660, MAT-01127, MAT-02020, MAT-02773, MAT-06001, MAT-06001, MAT-06001",MAT-01127,"MAT-00417, MAT-00660, MAT-02020, MAT-02773, MAT-06001, MAT-06001, MAT-06001",Químico,1448241.7265159627,187.3978311755253,17123
Graxa Alumínio,6,"MAT-00098, MAT-00466, MAT-00863, MAT-01657, MAT-01799, MAT-06001",MAT-00863,"MAT-00098, MAT-00466, MAT-01657, MAT-01799, MAT-06001",Lubrificante,1432975.4403716917,79.25023340491764,19703
Válvula Latão,10,"MAT-00543, MAT-00746, MAT-01206, MAT-01561, MAT-02409, MAT-02748, MAT-02766, MAT-02834, MAT-02857, MAT-06001",MAT-01561,"MAT-00543, MAT-00746, MAT-01206, MAT-02409, MAT-02748, MAT-02766, MAT-02834, MAT-02857, MAT-06001",MÚLTIPLAS,1427377.0395402997,45.901887130493684,30231
Serra Inox,4,"MAT-00147, MAT-00465, MAT-01741, MAT-02521",MAT-02521,"MAT-00147, MAT-00465, MAT-01741",Ferramentas,1418694.74,356.55,9025
Cilindro PVC,9,"MAT-00019, MAT-00308, MAT-00330, MAT-00451, MAT-00748, MAT-01438, MAT-06001, MAT-06001, MAT-06001",MAT-00451,"MAT-00019, MAT-00308, MAT-00330, MAT-00748, MAT-01438, MAT-06001, MAT-06001, MAT-06001",Pneumático,1405427.2476976938,55.6898088094531,30421
Vassoura Cobre,8,"MAT-00015, MAT-00355, MAT-00631, MAT-01685, MAT-01793, MAT-01935, MAT-02707, MAT-06001",MAT-00631,"MAT-00015, MAT-00355, MAT-01685, MAT-01793, MAT-01935, MAT-02707, MAT-06001",Limpeza,1399592.3366790866,228.05634825984734,14232
Base Cobre,9,"MAT-00037, MAT-00150, MAT-00531, MAT-00601, MAT-00828, MAT-01619, MAT-02016, MAT-02150, MAT-02374",MAT-00150,"MAT-00037, MAT-00531, MAT-00601, MAT-00828, MAT-01619, MAT-02016, MAT-02150, MAT-02374",Químico,1360835.67,121.06555555555558,23568
Balde PVC,9,"MAT-00438, MAT-00872, MAT-01110, MAT-01755, MAT-01851, MAT-02510, MAT-02547, MAT-02572, MAT-02628",MAT-01851,"MAT-00438, MAT-00872, MAT-01110, MAT-01755, MAT-02510, MAT-02547, MAT-02572, MAT-02628",Limpeza,1351900.0499999998,47.8,21766
Interruptor Aço,9,"MAT-00297, MAT-00390, MAT-01009, MAT-01195, MAT-01489, MAT-02025, MAT-02945, MAT-06001, MAT-06001",MAT-02025,"MAT-00297, MAT-00390, MAT-01009, MAT-01195, MAT-01489, MAT-02945, MAT-06001, MAT-06001",Elétrico,1344748.4307053394,54.398185437997114,27674
Registro Plástico,9,"MAT-00316, MAT-00800, MAT-00848, MAT-01037, MAT-01432, MAT-01446, MAT-02018, MAT-02201, MAT-02624",MAT-00848,"MAT-00316, MAT-00800, MAT-01037, MAT-01432, MAT-01446, MAT-02018, MAT-02201, MAT-02624",Hidráulico,1319706.92,358.3833333333333,13656
Tomada Inox,4,"MAT-00132, MAT-01151, MAT-02543, MAT-02772",MAT-01151,"MAT-00132, MAT-02543, MAT-02772",Elétrico,1277609.6700000002,121.1275,6742
"Tubo 2"" Aço",3,"MAT-00999, MAT-02519, MAT-02992",MAT-00999,"MAT-02519, MAT-02992",Hidráulico,1276034.1099999999,403.81333333333333,4141
Pano Plástico,8,"MAT-00131, MAT-01169, MAT-01599, MAT-02108, MAT-02192, MAT-02360, MAT-06001, MAT-06001",MAT-02360,"MAT-00131, MAT-01169, MAT-01599, MAT-02108, MAT-02192, MAT-06001, MAT-06001",Limpeza,1263039.1505870651,98.89998729882471,20747
Porca M8 Cobre,3,"MAT-01831, MAT-02966, MAT-06001",MAT-01831,"MAT-02966, MAT-06001",Fixação,1255169.3079490154,421.89872624479153,5369
Martelo Latão,6,"MAT-00516, MAT-00861, MAT-02305, MAT-02821, MAT-02942, MAT-06001",MAT-00861,"MAT-00516, MAT-02305, MAT-02821, MAT-02942, MAT-06001",Ferramentas,1241795.3293519954,75.20140287762995,11517
capacitor Latão,7,"MAT-00066, MAT-00167, MAT-00484, MAT-01109, MAT-01157, MAT-02012, MAT-02940",MAT-00484,"MAT-00066, MAT-00167, MAT-01109, MAT-01157, MAT-02012, MAT-02940",Eletrônico,1235035.67,274.93857142857144,9177
Ácido Inox,6,"MAT-00674, MAT-00894, MAT-01233, MAT-01343, MAT-02239, MAT-02325",MAT-01233,"MAT-00674, MAT-00894, MAT-01343, MAT-02239, MAT-02325",Químico,1213639.15,118.41833333333334,11619
Grampeador Inox,11,"MAT-00210, MAT-00457, MAT-01045, MAT-01944, MAT-02082, MAT-02166, MAT-02297, MAT-02465, MAT-02952, MAT-02987, MAT-06001",MAT-02987,"MAT-00210, MAT-00457, MAT-01045, MAT-01944, MAT-02082, MAT-02166, MAT-02297, MAT-02465, MAT-02952, MAT-06001",Escritório,1210002.7552693656,137.4675521164128,18528
Clipe PVC,2,"MAT-00960, MAT-02861",MAT-00960,MAT-02861,Acessórios,1192113.52,162.62,5076
Registro Latão,7,"MAT-00926, MAT-00932, MAT-01379, MAT-01651, MAT-01750, MAT-02321, MAT-02817",MAT-00926,"MAT-00932, MAT-01379, MAT-01651, MAT-01750, MAT-02321, MAT-02817",Hidráulico,1130775.73,46.214285714285715,22530
Papel Alumínio,3,"MAT-00664, MAT-01788, MAT-02599",MAT-02599,"MAT-00664, MAT-01788",Escritório,1113555.1300000001,389.35666666666674,7285
Caixa Alumínio,5,"MAT-00703, MAT-00791, MAT-00809, MAT-01052, MAT-02476",MAT-00703,"MAT-00791, MAT-00809, MAT-01052, MAT-02476",Embalagem,1097433.14,96.904,14124
Gancho Cobre,5,"MAT-00075, MAT-00244, MAT-01412, MAT-01747, MAT-01966",MAT-01747,"MAT-00075, MAT-00244, MAT-01412, MAT-01966",Acessórios,1039678.47,296.44199999999995,9785
Caneta Aço,7,"MAT-00212, MAT-00471, MAT-00530, MAT-00721, MAT-01815, MAT-02767, MAT-02818",MAT-02767,"MAT-00212, MAT-00471, MAT-00530, MAT-00721, MAT-01815, MAT-02818",Escritório,1024546.22,67.73142857142857,13770
Parafuso M16 PVC,2,"MAT-00173, MAT-01153",MAT-00173,MAT-01153,Fixação,1017207.12,213.48,3424
Clips PVC,4,"MAT-00287, MAT-00550, MAT-01686, MAT-06001",MAT-00287,"MAT-00550, MAT-01686, MAT-06001",Escritório,980945.358767185,504.4611696794274,9909
Porca M10 Aço,2,"MAT-01720, MAT-02709",MAT-01720,MAT-02709,Fixação,975288.58,325.43,5117
Prego Latão,4,"MAT-00245, MAT-02281, MAT-02732, MAT-06001",MAT-02732,"MAT-00245, MAT-02281, MAT-06001",Fixação,967066.196807182,53.97567959660556,16786
Balde Inox,2,"MAT-00588, MAT-00984",MAT-00588,MAT-00984,Limpeza,951078.7200000001,951.585,5444
Cabo 16mm² Plástico,2,"MAT-00559, MAT-02146",MAT-02146,MAT-00559,Elétrico,941604.0800000001,347.96500000000003,5771
Bucha Alumínio,6,"MAT-00974, MAT-01528, MAT-01776, MAT-02602, MAT-06001, MAT-06001",MAT-00974,"MAT-01528, MAT-01776, MAT-02602, MAT-06001, MAT-06001",Mecânico,918624.2043677598,135.7044572697055,18621
engrenagem PVC,7,"MAT-00784, MAT-01287, MAT-01417, MAT-01893, MAT-01956, MAT-02431, MAT-06001",MAT-02431,"MAT-00784, MAT-01287, MAT-01417, MAT-01893, MAT-01956, MAT-06001",Mecânico,891582.94,34.31428571428571,18696
Porca M16 Aço,4,"MAT-00319, MAT-01680, MAT-02612, MAT-02617",MAT-00319,"MAT-01680, MAT-02612, MAT-02617",Fixação,869755.2,117.0825,9730
Módulo Latão,4,"MAT-00239, MAT-00858, MAT-00869, MAT-01557",MAT-00869,"MAT-00239, MAT-00858, MAT-01557",Eletrônico,867633.3500000001,63.02,13153
Parafuso M8 Inox,2,"MAT-01385, MAT-02722",MAT-02722,MAT-01385,Fixação,849049.87,346.865,3338
Anel Cobre,4,"MAT-01290, MAT-01888, MAT-02215, MAT-06001",MAT-01290,"MAT-01888, MAT-02215, MAT-06001",Peças,848327.496299307,51.25222338290661,12456
clipe Latão,8,"MAT-00227, MAT-00303, MAT-00345, MAT-00375, MAT-00396, MAT-00594, MAT-01753, MAT-06001",MAT-00227,"MAT-00303, MAT-00345, MAT-00375, MAT-00396, MAT-00594, MAT-01753, MAT-06001",Acessórios,844939.8864168572,32.57417908355971,19718
Junta Alumínio,9,"MAT-01118, MAT-01554, MAT-01663, MAT-01691, MAT-02402, MAT-02496, MAT-02627, MAT-06001, MAT-06001",MAT-02402,"MAT-01118, MAT-01554, MAT-01663, MAT-01691, MAT-02496, MAT-02627, MAT-06001, MAT-06001",Peças,843139.0798021815,94.86310923989765,20681
Módulo Inox,4,"MAT-01257, MAT-01519, MAT-02291, MAT-02642",MAT-02642,"MAT-01257, MAT-01519, MAT-02291",Eletrônico,840233.48,468.8175,7867
Arruela Aço,10,"MAT-00445, MAT-00672, MAT-00687, MAT-00876, MAT-01774, MAT-01833, MAT-01873, MAT-01925, MAT-02780, MAT-02882",MAT-02780,"MAT-00445, MAT-00672, MAT-00687, MAT-00876, MAT-01774, MAT-01833, MAT-01873, MAT-01925, MAT-02882",Fixação,839828.56,24.796,25288
